,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,97.667%,99.833%,96.500%,97.333%,97.500%,97.000%,99.167%,97.857%
Boulware-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,93.000%,97.333%,98.619%
Boulware-Linear,99.833%,99.167%,100.000%,100.000%,97.500%,99.167%,89.000%,97.810%
Boulware-Atlas3,99.667%,98.000%,100.000%,99.167%,98.500%,96.333%,98.833%,98.643%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.667%,99.952%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.667%,99.952%
Linear-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.833%,99.976%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Average,99.717%,99.700%,99.650%,99.650%,99.350%,98.550%,98.350%,99.281%
